NST,JCONV,CHG,dt0,DIVF(1),DIVFrms,DT(ND),T(ND)
1.0,74.0,0.0383,2500.0,-0.146,0.149,-4.49,304.07
2.0,83.0,0.0146,2500.0,0.0619,0.0783,1.88,305.95
3.0,80.0,0.0609,1250.0,0.0177,0.0507,0.542,306.5
4.0,77.0,0.0289,625.0,0.0152,0.0358,0.466,306.96
5.0,76.0,0.0143,625.0,0.0124,0.03,0.382,307.34
6.0,75.0,0.0144,625.0,0.00987,0.0245,0.303,307.65
7.0,75.0,0.0144,625.0,0.00783,0.0235,0.241,307.89
8.0,75.0,0.0143,625.0,0.00616,0.0227,0.19,308.08
9.0,75.0,0.0142,625.0,0.00479,0.0221,0.148,308.22
10.0,74.0,0.0141,625.0,0.00373,0.0179,0.115,308.34
11.0,74.0,0.014,625.0,0.00289,0.0177,0.0892,308.43
12.0,74.0,0.0139,625.0,0.00224,0.0175,0.0692,308.5
13.0,74.0,0.0138,625.0,0.00169,0.0174,0.052,308.55
14.0,74.0,0.0137,625.0,0.00133,0.0173,0.041,308.59
15.0,74.0,0.0136,625.0,0.000999,0.0173,0.0308,308.62
16.0,74.0,0.0135,625.0,0.00075,0.0172,0.0231,308.64
17.0,74.0,0.0135,625.0,0.000561,0.0172,0.0173,308.66
18.0,74.0,0.0134,625.0,0.000417,0.0171,0.0129,308.68
19.0,74.0,0.0133,625.0,0.000309,0.0171,0.00953,308.68
20.0,74.0,0.0132,625.0,0.000226,0.0171,0.00698,308.69
21.0,74.0,0.0131,625.0,0.000215,0.017,0.00664,308.7
22.0,74.0,0.0131,625.0,0.000177,0.017,0.00546,308.7
23.0,74.0,0.013,625.0,0.000127,0.017,0.00392,308.71
24.0,74.0,0.0129,625.0,8.95e-05,0.017,0.00276,308.71
25.0,74.0,0.0129,625.0,6.13e-05,0.0169,0.00189,308.71
26.0,74.0,0.0128,625.0,4.01e-05,0.0169,0.00124,308.71
27.0,74.0,0.0127,625.0,2.41e-05,0.0169,0.000745,308.71
28.0,74.0,0.0127,625.0,1.22e-05,0.0169,0.000377,308.71
29.0,74.0,0.0126,625.0,3.25e-06,0.0168,0.0001,308.71
30.0,2.0,1.12e-06,3120.0,-3.45e-06,3.45e-06,-0.000106,308.71
31.0,2.0,7.23e-07,10000.0,-2.21e-06,2.21e-06,-6.83e-05,308.71
32.0,2.0,1.28e-06,10000.0,-3.91e-06,3.91e-06,-0.000121,308.71
33.0,2.0,3.07e-06,10000.0,-9.4e-06,9.4e-06,-0.00029,308.71
34.0,2.0,2.51e-06,10000.0,-7.71e-06,7.71e-06,-0.000238,308.71
